Time	EMG	Muscle Force
18.484	-0.0766689	0.277683
18.485	-0.448178	0.277683
18.486	-0.415483	0.277683
18.487	-0.0466436	0.277683
18.488	0.469752	0.277683
18.489	0.882484	0.277683
18.49	0.89803	0.277683
18.491	0.341947	0.277683
18.492	-0.803674	0.277683
18.493	-2.37085	0.277683
18.494	-4.04673	0.277683
18.495	-0.50761	0.277683
18.496	4.66655	0.277683
18.497	10.9428	0.277683
18.498	-5.62495	0.277683
18.499	-4.26966	0.277683
18.5	-2.55788	0.277683
18.501	-0.809429	0.277683
18.502	0.675155	0.277683
18.503	1.662	0.277683
18.504	2.02469	0.27806
18.505	1.67743	0.277683
18.506	0.720536	0.277683
18.507	-0.729502	0.277683
18.508	-2.447	0.277683
18.509	-4.14888	0.27806
18.51	-5.53486	0.277683
18.511	9.50377	0.277683
18.512	9.79422	0.27806
18.513	-10.2119	0.277683
18.514	2.93554	0.27806
18.515	-2.86033	0.277683
18.516	-1.27358	0.277683
18.517	-0.0105025	0.277683
18.518	0.731676	0.27806
18.519	0.914312	0.277683
18.52	0.654735	0.27806
18.521	0.169727	0.277683
18.522	-0.293358	0.277683
18.523	-0.535266	0.277683
18.524	-0.425247	0.277683
18.525	0.0310553	0.277683
18.526	0.728966	0.27806
18.527	1.50081	0.27806
18.528	-9.81887	0.277683
18.529	20.9798	0.27806
18.53	-17.9021	0.27806
18.531	2.77905	0.277683
18.532	1.53592	0.27806
18.533	0.758024	0.27806
18.534	0.0725124	0.27806
18.535	-0.329982	0.27806
18.536	-0.347464	0.27806
18.537	-0.035638	0.27806
18.538	0.429928	0.27806
18.539	0.807637	0.27806
18.54	0.806441	0.27806
18.541	0.252408	0.27806
18.542	-0.872751	0.27806
18.543	-2.40366	0.27806
18.544	-4.03306	0.27806
18.545	0.739165	0.277683
18.546	3.95937	0.27806
18.547	10.2023	0.277683
18.548	-5.49201	0.27806
18.549	-4.14689	0.277683
18.55	-2.4541	0.27806
18.551	-0.72546	0.27806
18.552	0.7429	0.277683
18.553	1.71515	0.277683
18.554	2.0551	0.277683
18.555	1.67036	0.277683
18.556	0.657885	0.27806
18.557	-0.862488	0.277683
18.558	-2.65148	0.277683
18.559	-4.4062	0.277683
18.56	-5.80818	0.277683
18.561	10.8843	0.27806
18.562	10.5117	0.27806
18.563	-11.4318	0.277683
18.564	2.29967	0.277683
18.565	-2.73845	0.277683
18.566	-1.10058	0.277683
